Product Name,Current Price,Old Price,Discount,Ratings,URL,Photo,Vendor
HP EliteBook Folio 1040 G0 G1 G2 Laptop Battery-Bl06xl,"₦43,504.86","₦43,504.86",,,https://www.amaget.com/product/hp-elitebook-folio-1040-g0-g1-g2-laptop-battery-bl06xl/,https://www.amaget.com/wp-content/uploads/2023/10/61V-kr1pu7L._AC_SL1500_-300x300.jpg,Amaget Site
Keyboard for Elitebook 840 g2,"₦16,000.00","₦16,000.00",,,https://www.amaget.com/product/keyboard-for-elitebook-840-g2/,https://www.amaget.com/wp-content/uploads/2023/10/s-l1200-1-300x300.jpg,Amaget Site
Genuine keyboard for EliteBook Revolve 810 G1 G2 G3 716747-001 D7Y87PA Backlit,"₦19,252.42","₦19,252.42",,,https://www.amaget.com/product/genuine-keyboard-for-elitebook-revolve-810-g1-g2-g3/,https://www.amaget.com/wp-content/uploads/2023/10/Genuine-keyboard-for-EliteBook-Revolve-300x300.jpg,Amaget Site
Original Keyboard Backlight For ThinkPad X1 Carbon 5th（2017）6th（2018）Gen European Standard Layout UK GB 01ER704,"₦63,258.89","₦63,258.89",,,https://www.amaget.com/product/original-keyboard-backlight-for-thinkpad-x1-carbon-5th%ef%bc%882017%ef%bc%896th%ef%bc%882018%ef%bc%89gen-european-standard-layout-uk-gb-01er704/,https://www.amaget.com/wp-content/uploads/2023/10/s-l1200-1-300x300.jpg,Amaget Site
New Alienware m15 R3 / m15 R4 Backlit Laptop Keyboard Assembly – 4-zone RGB Backlit,"₦80,511.32","₦80,511.32",,,https://www.amaget.com/product/new-alienware-m15-r3-m15-r4-backlit-laptop-keyboard/,https://www.amaget.com/wp-content/uploads/2023/10/s-l1200-300x300.jpg,Amaget Site
"New Genuine Keyboard for HP ProBook 640 G2, G3 Keyboard",,"₦2,110.22",,,https://www.amaget.com/product/new-genuine-keyboard-for-hp-probook-640-g2/,https://www.amaget.com/wp-content/uploads/2023/10/41qEiJkOUCL._AC_-300x300.jpg,Amaget Site
HP Pavilion G6-1135sl AMD System Board Motherboard Mainboard DA0R22MB6D0,"₦40,204.53","₦40,204.53",,,https://www.amaget.com/product/hp-pavilion-g6-1135sl-amd-system-board-motherboard/,https://www.amaget.com/wp-content/uploads/2023/10/s-l1600-11-300x300.jpg,Amaget Site
"HP 598225-001, Socket S1, AMD Motherboard","₦54,805.18","₦54,805.18",,,https://www.amaget.com/product/hp-598225-001-socket-s1-amd-motherboard/,https://www.amaget.com/wp-content/uploads/2023/10/s-l640-1-300x300.jpg,Amaget Site
HP STREAM 14-CB INTEL CELERON N3060 64GB EMMC LAPTOP MOTHERBOARD L45445-001,"₦80,511.32","₦80,511.32",,,https://www.amaget.com/product/hp-stream-14-cb-intel-celeron-n3060-64gb/,https://www.amaget.com/wp-content/uploads/2023/10/s-l1600-7-300x300.jpg,Amaget Site
HP 15-f222wm Intel Pentium N3540 Motherboard DA0U8AMB6A0,"₦69,009.70","₦69,009.70",,,https://www.amaget.com/product/hp-15-f222wm-intel-pentium-n3540/,https://www.amaget.com/wp-content/uploads/2023/10/s-l1600-6-300x300.jpg,Amaget Site
New HP EliteBook 840 G5 i7-8650U Motherboard (L15522-601),"₦228,882.18","₦228,882.18",,,https://www.amaget.com/product/new-hp-elitebook-840-g5-i7-8650u-motherboard/,https://www.amaget.com/wp-content/uploads/2023/10/s-l1600-3-1-1-300x300.jpg,Amaget Site
Motherboard for Hp notebook 250 G5 2.30GHZ Core i5-6th Gen,"₦63,258.89","₦63,258.89",,,https://www.amaget.com/product/motherboard-for-hp-notebook-250-g5/,https://www.amaget.com/wp-content/uploads/2023/10/s-l1600-3-300x300.jpg,Amaget Site
MOTHERBOARD FOR HP PROBOOK 6570B 8570B Intel 2 Ram Slot,"₦46,006.47","₦46,006.47",,,https://www.amaget.com/product/hp-probook-6570b-8570b-motherboard/,https://www.amaget.com/wp-content/uploads/2023/10/H7b72a679ebc74c919349844103e3e4c14-300x300.jpg,Amaget Site
Motherboard for Hp EliteBook folio G1 M5-6Y54 DDR3,"₦69,009.70","₦69,009.70",,,https://www.amaget.com/product/motherboard-for-hp-elitebook-folio-g1-m5-6y54-ddr3/,https://www.amaget.com/wp-content/uploads/2023/10/download-1.png,Amaget Site
Motherboard for Hp EliteBook 840 G3 840 G4 840r-G3 840r-G4 Core i5-8th Gen 1.70GHZ,"₦103,514.56","₦103,514.56",,,https://www.amaget.com/product/motherboard-for-hp-elitebook-840-g3-core-i5/,https://www.amaget.com/wp-content/uploads/2023/10/s-l1600-300x300.jpg,Amaget Site
Motherboard for HP ProBook 450 G5 Laptop Motherboard Mainboard with I3 I5 I7 7th Gen 8th Gen CPU V2GB GPU DA0X8CMB6E0,"₦115,016.17","₦115,016.17",,,https://www.amaget.com/product/motherboard-for-hp-probook-450-g5-laptop/,https://www.amaget.com/wp-content/uploads/2023/10/H1745f2029eb54b5e9085a662bd00df3bJ-300x300.webp,Amaget Site
"HP Notebook 15 DW1247NIA PENTIUM SILVER N5030 (15.6″) DIAGONAL, HD (1366 X 768) 1TB 4GB DOS FINGER PRINT 1YR WTY 364L2EA",,"₦380,415.99",,,https://www.amaget.com/product/hp-notebook-15-dw1247nia-pentium/,https://www.amaget.com/wp-content/uploads/2023/08/426c40ce-caa5-450f-8af2-5aef875dfc5b-300x283.png,Amaget Site
