prod_title,current_price,old_price,discount,rating,photo,URL,vendor
HP 14 – ep0000nia 13th Gen Intel® Core™ i3- 512GB PCIe® NVMe™ M.2 SSD | 8GB DDR4 RAM (1 x 8 GB),550000.0,560000.0,,,https://pcplaceng.com/wp-content/uploads/2024/04/download-16-1-300x300.webp,https://pcplaceng.com/product/hp-14-ep0000nia-13th-gen-intel-core-i3-512gb-pcie-nvme-m-2-ssd-8gb-ddr4-ram-1-x-8-gb/,PC-PLACE_site
HP 14S COREI3 -DQ5106 |12th GEN|  |4GB RAM| |512GB SSD|  |14.0 inch| |WIN 11|,550000.0,570000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T094546.843-300x300.webp,https://pcplaceng.com/product/hp-14s-corei3-dq5106-12th-gen-4gb-ram-512gb-ssd-14-0-inch-win-11/,PC-PLACE_site
HP 15S CORE I3-FQ5301 |12th GEN| |4GB RAM| |512GB SSD| |15.6 INCH| |DOS|,550000.0,570000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T130551.575-300x300.webp,https://pcplaceng.com/product/hp-15s-core-i3-fq5301-12th-gen-4gb-ram-512gb-ssd-15-6-inch-dos/,PC-PLACE_site
HP 15S CORE I3 -FQ5004  |12th GEN| |8GB RAM| |256GB SSD|  |15.6 INCH|,557700.0,580000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T124543.193-300x300.webp,https://pcplaceng.com/product/hp-15s-core-i3-fq5004-12th-gen-8gb-ram-256gb-ssd-15-6-inch/,PC-PLACE_site
HP 14S COREI3- DQ5106  |12th GEN|  |8GB RAM| |512GB SSD|  |14.0 Inch|  |WIN 11|,561000.0,590000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T110844.509-300x300.webp,https://pcplaceng.com/product/hp-14s-corei3-dq5106-12th-gen-8gb-ram-512gb-ssd-14-0-inch-win-11/,PC-PLACE_site
"DELL VOSTRO 3400  Core i3-1115G4, 4GB 1TB 14.0 HD UBUNTU",565000.0,600000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled4-9-300x300.jpg,https://pcplaceng.com/product/dell-vostro-3400-laptop-ci3-1115g4-4gb-1tb-14-0-hd-ubuntu/,PC-PLACE_site
HP 15S CORE I3 -FQ5301 |12th GEN| |8GB RAM| |512GB SSD| |15.6 INCH| |WIN11|,566000.0,585000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T134604.488-300x300.webp,https://pcplaceng.com/product/hp-15s-core-i3-fq5301-12th-gen-8gb-ram-512gb-ssd-15-6-inch-win11/,PC-PLACE_site
HP 14S DQ5023nia |INTEL  COREI3| |12th GEN|  |4GB RAM| |256GB SSD| |14.0 Inch|,566500.0,580000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-27T163700.951-300x300.webp,https://pcplaceng.com/product/hp-14s-dq5023nia-intel-corei3-12th-gen-4gb-ram-256gb-ssd-14-0-inch/,PC-PLACE_site
HP 15S CORE I3-FQ5301 |12th GEN| |4GB RAM| |512GB SSD| |15.6 INCH| |WIN 11|,566500.0,590000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T132658.436-300x300.webp,https://pcplaceng.com/product/hp-15s-core-i3-fq5301-12th-gen-4gb-ram-512gb-ssd-15-6-inch-win-11/,PC-PLACE_site
Dell Inspiron 7420 2-IN-1 12th Gen Core i5-1235U 512GB SSD 8GB RAM,568000.0,585000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/3-5-300x300.webp,https://pcplaceng.com/product/dell-inspiron-7420-2-in-1-12th-gen-core-i5-1235u-512gb-ssd-8gb-ram/,PC-PLACE_site
"HP Pavilion 14-ce3019nia: 1TB HDD, 8GB RAM",570000.0,650000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/image-27-2-1-300x300.jpg,https://pcplaceng.com/product/hp-pavilion-14-ce3019nia-2q766ea-1tb-hdd-8gb-ram/,PC-PLACE_site
HP Envy x360 2-IN-1 AMD Ryzen5 256GB 8GB,570240.0,637000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/1-4-300x300.webp,https://pcplaceng.com/product/hp-envy-x360-2-in-1-amd-ryzen5-256gb-8gb/,PC-PLACE_site
HP 15s – FQ5264NIA Laptop Intel Core™️ i3-1215U 256GB SSD 8GB RAM WEBCAM BLUETOOTH BACKLIT 15.6″ HD LED (250 nit) Win 10Pro,572000.0,580000.0,,,https://pcplaceng.com/wp-content/uploads/2024/04/image-2-1-300x300.webp,https://pcplaceng.com/product/hp-15s-fq5264nia-intel-core%ef%b8%8f-i3-1215u-256gb-ssd-8gb-ram-webcam-bluetooth-backlit-15-6-hd-led-250-nit-win-10pro/,PC-PLACE_site
HP 14S-DQ5023nia |INTEL  COREI3| |12th GEN|  |8GB RAM| |256GB SSD|  |14.0 Inch|,577500.0,590000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-27T163700.951-300x300.webp,https://pcplaceng.com/product/hp-14s-dq5023nia-intel-corei3-12th-gen-8gb-ram-256gb-ssd-14-0-inch/,PC-PLACE_site
HP 15S CORE I3  |12th GEN|  |8GB RAM| |512GB SSD|  |15.6 INCH TOUCH|  |DOS|,577500.0,590000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T141218.519-300x300.webp,https://pcplaceng.com/product/hp-15s-core-i3-12th-gen-8gb-ram-512gb-ssd-15-6-inch-touch-dos/,PC-PLACE_site
HP 15S CORE I3 -FQ518NIA |12th GEN|8GB RAM| |256GB SSD|  |15.6 INCH| |FACTORY INSTALLED| |WIN 11|,577500.0,600000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T115904.749-300x300.webp,https://pcplaceng.com/product/hp-15s-core-i3-fq518nia-12th-gen8gb-ram-256gb-ssd-15-6-inch-factory-installed-win-11/,PC-PLACE_site
"HP 14- Laptop (2S8G4UA): Intel Core i3, 256GB SSD, 8GB RAM dq1077wm",580000.0,680000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/3A4XZUopCJA-1.png,https://pcplaceng.com/product/hp-laptop-14-dq1077wm-2s8g4ua-intel-core-i3-256gb-ssd-8gb-ram/,PC-PLACE_site
"Alienware 24.5 Gaming  Monitor  FHD (Full HD 1920 x 1080p), AW2521H 360Hz",586300.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/images-4-300x300.webp,https://pcplaceng.com/product/alienware-aw2521h-360hz-gaming-monitor-24-5-inch-fhd-full-hd-1920-x-1080p-nvidia-g-sync-certified-100mm-x-100mm-vesa-mounting-support-dark-side-of-the-moon/,PC-PLACE_site
HP 15S CORE I3 |12th GEN| |8GB RAM| |512GB SSD|  |15.6 INCH| |TOUCH|  |WIN 11|,596200.0,615000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T141218.519-300x300.webp,https://pcplaceng.com/product/hp-15s-core-i3-12th-gen-8gb-ram-512gb-ssd-15-6-inch-touch-win-11/,PC-PLACE_site
"Microsoft Surface Laptop Go – 12.4 Touch-Screen – 1ZO-00001 – 1.0 GHz Intel Core i5 Quad-Core 10th Gen, 4GB RAM, 64GB eMMC (1536 x 1024)",600000.0,650000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/51frVEax5TS._AC_SX679_-370x370-1-300x300.webp,https://pcplaceng.com/product/microsoft-surface-laptop-go-12-4%e2%80%b3-touch-screen-1zo-00001-1-0-ghz-intel-core-i5-quad-core-10th-gen-4gb-ram-64gb-emmc-1536-x-1024-integrated-intel-uhd-graphics-wind/,PC-PLACE_site
"LENOVO IDEAPAD 3 141MLOS, INTEL CORE I3, 1TB HDD,4GB RAM.",600000.0,730000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/8-2-300x300.webp,https://pcplaceng.com/product/lenovo-ideapad-3141mlosintel-corei3-1tb-hdd4gb-ram-2/,PC-PLACE_site
Lenovo Ideapad 5-14IIL05 Intel Core i5 256GB SSD 8GB RAM 14 Win 10,600000.0,750000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/1-10-300x300.webp,https://pcplaceng.com/product/lenovo-5-14itl05-core-i5-256gb-8gb/,PC-PLACE_site
Dell Inspiron 7420 2-In-1 12th gen Intel Core I5,600000.0,640000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/3-5-300x300.webp,https://pcplaceng.com/product/dell-inspiron-7420-2in1-12th-gen-core-i5-512gb-8gb/,PC-PLACE_site
Dell Vostro 3510 11th Gen Intel Core i3-1115G4 (Upto 4.1GHz) 256GB SSD 8GB,600000.0,663000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image.jpg,https://pcplaceng.com/product/dell-vostro-3510-11th-gen-intel-core-i3-1115g4-upto-4-1ghz-256gb-ssd-8gb/,PC-PLACE_site
Dell Inspiron 3520 12th Gen Intel Core™ i3-1215U 1.2GHz up to 4.4GHz  256GB M.2 NVMe SSD | 8GB DDR4 RAM (1 x 8GB),600000.0,675000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-24.jpg,https://pcplaceng.com/product/dell-inspiron-3520-12th-gen-intel-core-i3-1215u-1-2ghz-up-to-4-4ghz-256gb-m-2-nvme-ssd-8gb-ddr4-ram-1-x-8gb/,PC-PLACE_site
Dell Inspiron 5310 Core™ i5-11320H 512GB SSD 16GB RAM -5682SLV,610000.0,750000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/3-2-300x300.webp,https://pcplaceng.com/product/dell-inspiron-5310-5682slv-core-i5-11320h-512gb-ssd-16gb-ram/,PC-PLACE_site
DELL VOSTRO 3500 INTEL CORE i3-11TH GEN 4GB RAM 1TB HARD DRIVE WIN10 PRO,615000.0,650000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/deeeeeeee-300x300.jpg,https://pcplaceng.com/product/dell-vostro-3500-intel-core-i3-11th-gen-4gb-ram-1tb-hard-drive-win10-pro/,PC-PLACE_site
Lenovo 3 i5 – 1135G7 14ITL05 11th Gen  Intel Core™ Quad Core 2.40 GHz up to 4.20 GHz  256GB M.2 NVMe SSD | 8GB DDR4 RAM 14″ FHD  LCD Display | Windows 11,622600.0,632600.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-16T085151.473-300x300.webp,https://pcplaceng.com/product/lenovo-3-14itl05-11th-gen-intel-core-i5-1135g7-quad-core-2-40-ghz-up-to-4-20-ghz-256gb-m-2-nvme-ssd-8gb-ddr4-ram-14-fhd-lcd-display-windows-11/,PC-PLACE_site
"HP PAVILION 14 X360 – DY0063NIA CORE I3 4GB RAM, 512 SSD",630000.0,670000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled9-6-300x300.jpg,https://pcplaceng.com/product/hp-pavilion-14-x360-dy0063nia-4gb-ram-512-ssd/,PC-PLACE_site
HP Pavilion 15 x360 Convertible -ER0225 2-IN-1 Core™ i5-1135G7 256GB SSD 8GB RAM.,633600.0,950000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/HP-ELITEBOOK-X360-1040-G7-LAPTOP-2W7E6UT-300x300.webp,https://pcplaceng.com/product/hp-pavilion-15-x360-convertible-15-er0225-2-in-1-core-i5-1135g7-256gb-ssd-8gb-ram/,PC-PLACE_site
